cell_type_name,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
immature B cell,0.22313347,0.17869033,0.023995075,0.04170834,0.009198226,0.040088754,0.005653783,0.042069033,4.9784813,6.0948176,0.22243588,5.8774014,4.897621,0.04276837,0.08277753,2.4360237,0.014595519,1.5446641,0.06851383,5.0072713,0.73500043,0.37445033,6.3289914,0.70087415,0.020384781,0.18220715,0.091471694,1.7061065,0.08768005,0.1060858,4.448718,0.31720218,1.8434857,2.2727346,0.0020610904,1.4649321,5.134174,0.12333753,1.6552823,0.71570265,0.6494792,2.8080573,0.00636598,0.14067714,4.67571,0.5452273,2.5406775,3.3902967,1.4518356,3.729235,0.036107752,0.017089153,0.052776754,3.8462224,2.0842612,0.0036352822,3.6657288,1.1278875,0.054938443,0.26247308,0.005930609,0.22260693,0.01187741,1.6866497,0.01498562,0.0577624,0.034408227,0.86804646,3.109045,0.055344146,0.077658206,0.24181156,4.7374673,0.5455306,0.01890065,0.02902291,0.024449278,0.011659493,5.4755,0.0062250504,2.3403308,0.059836686,3.1457314,0.004525718,2.7847538,5.513787,0.29289606,0.1496634,0.46986514,0.021012263,2.273089,0.5661711,0.012006795,0.011174361,1.3707726,4.0753856,0.012011641,0.11944263,0.5411059,0.005278204,0.0199039,1.7281413,0.031018205,0.01669204,0.35992292,0.3939929,5.583726,6.416119,1.1505027,3.967184,1.0022856,0.0050464985,0.035144705,3.9368289,1.9771149,5.522137,1.1106274,0.0142941,0.6209432,1.4395971,0.02896689,0.35758665,0.023318592,0.0022268211,0.0103425775,0.2260702,4.636726,0.2469256
immature innate lymphoid cell,0.007496725,0.7317818,3.337311,0.10084313,4.039613,1.5880525,0.024899531,0.018096043,0.8409957,1.0094054,0.31389073,0.009639714,2.5190847,2.094806,0.005715104,0.6207336,0.15114617,1.298773,4.1707325,0.069239214,0.011657051,2.4928572,0.01019826,0.38200873,2.2065518,0.023303246,0.08045003,3.3147597,0.0943382,1.6136087,0.19211785,0.9455192,3.9352007,0.01962225,4.3842044,0.015613039,0.045943797,1.8634504,2.1834135,2.974475,0.0013703932,0.03402507,0.87255967,0.021955244,0.14521292,2.8419654,0.0110070985,0.026740279,0.08239869,1.0619452,2.3781908,0.3612416,1.9142387,1.014572,1.1619138,1.1322471,0.33501697,0.026965337,2.627698,0.10482949,0.33137438,1.301607,0.057647504,0.9480964,0.036594428,4.000637,0.5008037,2.4260082,0.23617911,2.1418543,0.014677794,3.6885164,0.009830309,0.017591491,0.009399466,0.46643332,0.24926586,4.0798235,0.0061055627,0.21263194,2.481894,1.2169927,3.405764,0.099248275,0.039120235,5.4256988,0.010216447,0.03442683,0.008232833,3.9916492,1.922567,1.071699,0.06773185,0.08115119,0.009391285,0.6022113,1.1808981,5.354891,1.9720021,0.100601874,0.6672865,0.3346631,0.43690994,0.90515345,0.042272083,1.7939094,0.029981446,0.012659296,1.3514063,0.9476257,0.035249863,0.5151288,0.15954848,3.1218643,0.046803094,0.2826262,0.52491826,3.8614614,0.17362623,1.0533465,1.3755139,0.008029755,0.11593952,0.14262193,0.013141574,0.1625145,0.4465765,2.2314517
inflammatory macrophage,0.51233906,0.774429,0.019209756,0.041250408,3.4668658,3.8336778,4.298037,0.019877227,4.7336273,2.656506,2.997371,0.033461012,2.3746943,0.25104988,0.6128703,3.517856,0.019971874,6.195374,3.2191303,2.7368734,0.01049298,1.0414301,0.0027801162,0.029305208,0.46846518,0.015535081,3.2425113,1.4656143,0.0057045915,0.6740611,0.013242639,0.010054154,0.02994916,0.18990625,0.5914301,0.007317326,4.8623047,0.17727032,0.3410881,0.07658613,0.004111318,1.1015431,0.058596533,1.1826694,2.6264176,3.0062947,2.871017,1.3019898,4.4931364,0.4843631,0.1541659,0.017351335,0.049876526,5.031712,0.049442623,0.10937966,0.018559346,1.3848816,1.2205597,0.10114875,0.07111225,0.014306309,0.079276964,3.4348474,1.9215856,0.027933981,0.51731384,3.248011,0.016600467,5.555818,1.1499246,0.30246264,0.02503285,0.0123098055,1.6993694,0.21034393,1.0402356,0.0055462127,0.11743205,0.1449021,2.251847,3.8652084,0.57951385,0.44935295,0.013325387,1.5414835,0.23479687,0.75395834,0.31894264,0.00475351,0.19851388,1.9738848,0.0030351158,0.010174647,1.214848,0.18963747,0.031854134,0.91889894,1.1488771,0.54059315,0.0035149972,3.8347375,6.7910304,2.5533998,0.007890057,0.0289049,1.1386245,0.012874644,0.018869698,0.2653384,2.2622008,1.6650423,0.7584318,4.2220316,0.060549308,0.40132612,0.007925012,3.2101645,0.22538835,0.31669024,0.16560224,0.33059636,0.37416545,0.07634728,0.09729485,5.9270473,0.23204745,0.92172027
innate lymphoid cell,0.24503084,4.8491564,1.116725,0.0365473,0.08738068,2.9163547,0.4589812,3.4776888,0.21571171,5.1399226,3.2892985,0.034380145,0.073277056,0.90850484,0.009365567,5.7126184,1.4004756,1.3037742,4.6220756,2.5395622,0.2086705,2.4700487,0.18168366,0.105395965,0.9039678,1.6426036,2.0892835,0.0727335,0.11791911,0.5272121,1.0362446,1.7507939,3.7589571,0.022960914,3.8312593,0.14580688,1.4672041,3.893831,0.88235533,2.2283554,0.005645437,0.16126329,0.0087702405,0.9690795,0.12061763,0.025837973,0.16664536,1.6989466,1.5110657,0.0359891,5.0716066,0.120857164,3.1661584,0.11003144,0.46330068,0.013033116,0.3335292,0.106821574,1.1930892,0.6720893,3.885615,1.8684849,0.30718696,0.037647083,0.021391004,4.0787287,0.09470645,4.9062386,0.8557477,0.30413103,3.0577114,5.0469794,0.09414639,1.1154654,0.5274666,0.004086599,0.99391985,2.3101723,2.9677527,0.9422988,0.0805122,0.24558035,1.7690271,4.777826,0.37461975,6.155573,0.03734416,2.132113,1.6899116,0.8565041,5.6491838,2.3365786,0.17359468,0.21405831,0.072722614,3.7322805,5.148298,3.005593,5.426364,2.9663317,0.01630716,0.022559078,0.3631662,4.1177154,0.09700156,0.17890859,1.0094202,0.56282157,0.99269825,0.8202773,0.017319867,0.1709657,2.6616077,0.89030415,0.09508703,1.5473015,0.7010981,1.4659477,2.463789,1.2027478,4.966211,0.004004406,0.13719377,0.014469674,0.02355347,0.7167004,0.011753577,0.07654103
intermediate monocyte,0.0171202,0.076970674,1.6476073,0.0401252,7.463841,0.6208849,0.08044373,0.0104741575,0.030656539,0.1916323,0.05072432,0.00925935,1.2434357,5.0454946,0.013197536,2.1592536,1.3255876,3.011192,6.1815805,4.263213,1.7902933,0.0017109794,0.08308843,0.8096375,0.059905563,0.01821983,5.086532,0.021599744,0.01791584,4.767718,1.7485992,0.365476,0.5433642,3.246865,2.9073775,0.12889326,6.823389,0.051941946,0.23544462,0.016566563,0.0035912849,0.010339408,0.17689382,1.4593518,0.16330524,0.004983485,0.01995844,0.036226474,0.19481626,0.015272314,0.031573713,0.10251365,1.1900309,2.901021,0.545912,0.12922889,0.006903057,3.639154,0.0061117704,3.1696944,4.3040905,0.10389445,1.2194197,0.0765368,0.17525107,2.1987836,0.356107,0.009323865,0.08584127,0.79308593,0.04643223,0.26316214,0.009136169,0.01604777,1.6085832,0.71648055,0.05798882,0.025538687,0.023205344,0.016425107,0.0079070125,3.361687,0.28891093,0.039777953,1.1640396,5.434231,0.12143544,0.17993343,0.5153773,0.10482934,1.8478345,0.6730921,3.3778017,1.3200352,1.2140205,0.18292418,3.5068343,2.123965,2.189955,1.4906018,3.6323526,0.13437039,4.3731337,0.04293158,0.30164278,0.71338445,1.0677536,1.706563,5.9090242,0.16631596,4.797797,0.3284568,0.010253469,4.3964224,0.29744855,0.021655563,0.0013918547,3.191463,1.1827208,3.9399204,4.630531,0.011702189,0.015598282,0.15251881,0.22828776,0.2830343,0.0057132863,2.7885964
intestine goblet cell,0.18911263,0.29330504,0.13368,0.112330616,1.502718,0.018482491,0.7201403,0.013178784,4.1452703,4.2212696,5.1233516,1.7428999,3.0659463,3.8340948,1.8695952,0.44593528,0.21013278,4.0438175,0.07147038,2.8109512,0.024353322,0.0038741543,2.4668639,0.4937804,3.6128168,0.0027448474,2.7130086,0.018352404,5.946869,0.21902896,0.07010062,0.29051936,2.0770092,3.0725026,0.062672675,0.02047759,7.2276936,0.010561864,0.56137925,0.046971694,0.4951408,2.1954098,0.016156908,1.0146525,0.04099935,0.6402024,0.08395492,0.36404634,0.01787136,0.40678805,0.05885826,0.4082685,0.16449547,3.6685543,1.795891,0.025045043,1.9118172,0.633672,0.002197798,0.19039248,0.2764964,4.0570917,5.8161774,0.2804047,4.6801443,0.01706365,2.8921723,0.023866374,6.0009346,0.40511504,0.7498654,0.73215413,5.525896,0.0898512,5.0493965,0.90147763,0.05593092,3.8438377,2.6496637,0.008968615,1.3241231,0.056682553,0.042457525,0.04058524,3.7153652,4.3805037,1.1536403,0.07805423,5.572289,0.1293009,0.92451626,0.118547186,1.6327784,0.572938,0.0599781,1.5128065,0.11617971,3.355599,0.0023559313,1.4998891,2.6914406,0.030336007,0.23096009,0.010563187,2.7994876,0.41332516,0.027125418,3.5617688,0.9610575,0.044265836,0.49992868,5.077255,0.07935427,0.44019392,1.5981251,1.9899764,0.17181063,3.3906357,1.6745086,7.8832917,0.5411158,2.7855175,1.0824255,0.052689854,0.027909013,0.40948567,2.8274724,0.0040743006
intraepithelial lymphocyte,3.2734919,3.9943278,0.0023471224,0.3944717,0.7413885,0.6146121,0.578308,0.96280646,0.005250388,0.0014902413,0.0068667093,5.065173,0.08860256,0.87151587,0.29753354,4.7039385,2.3967097,1.2444359,0.007795078,0.009730223,0.04419686,2.829366,5.4836907,0.01173042,0.017728632,4.39913,3.264716,0.023534175,0.049114104,0.018299973,0.0022244346,0.10075587,0.11014987,0.024178796,0.07567228,0.006259475,0.0037308992,0.0027229171,0.010998,0.037150994,0.0075058457,0.0017301597,0.09612966,0.0027353829,0.15166453,0.005438495,1.1703222,2.2068238,5.1514387,0.55398065,0.36841497,7.914616,2.9931448,0.016825661,2.0294273,3.9426484,0.84597266,1.1730497,1.5756133,2.3912063,0.05593267,0.0068144365,1.0897336,0.001163055,0.012265901,0.0050459416,0.17514044,1.3974286,4.1765985,0.0004512967,0.024043418,1.7377028,1.8133374,3.5777087,0.21499623,0.20171483,0.037118115,0.011394144,2.2539532,0.21640803,0.24626696,0.052755293,0.0027409166,1.2876078,0.01752539,2.3756344,0.65131646,3.953097,0.49602804,0.17401093,3.1257915,2.3301497,2.9181075,2.398709,0.009025185,1.4823115,2.3808784,0.010331892,0.007066934,0.0339117,0.0039702365,3.5548277,0.042421702,0.40586203,0.12566243,0.043935984,0.65598667,0.004125884,0.18716569,1.8059663,0.057248693,0.039932147,5.424878,5.083619,0.006896795,0.008331856,0.5399706,0.15163948,0.98907363,0.09334985,2.8046174,0.06703193,5.158047,0.13119164,0.022163533,0.013188963,0.40295535,0.0031364232
keratinocyte,4.738742,1.2197785,0.32850963,3.246853,0.18893771,1.3083495,0.24315591,0.20532238,0.021032054,0.028712643,0.752444,0.6427248,2.1333346,0.19710033,0.043772463,3.1562579,1.0174805,0.07526983,0.16172083,0.088615224,0.10190799,0.06259601,0.027137551,0.046034634,2.402475,0.79690236,0.012942189,1.8129748,0.046469767,4.148896,0.020917555,1.7827896,1.6871897,0.16850014,0.7145069,2.8133485,0.012539137,0.17384312,0.52863014,0.10581004,2.0219476,0.043892,1.9484714,0.5729019,1.8242146,1.014299,0.60959756,0.21366146,1.3576682,0.0104631,0.09039096,0.46454164,4.0443244,0.05899454,0.26279345,0.444853,0.75035024,0.09541614,3.2842512,0.05292266,0.0243728,0.031902153,4.481748,0.2587074,0.16239466,0.1564579,0.12959445,2.3887024,2.1594164,0.022608044,0.014079718,0.19103844,0.026962224,0.06397311,0.09248312,2.69511,1.547009,4.4321322,0.054947644,0.03305195,0.858907,0.4148234,0.030662958,0.6881243,0.022818264,0.29899728,1.7903717,3.7511683,0.022337921,1.0560675,1.0271257,0.41746578,1.2848573,0.33387122,3.1031933,0.087584645,0.05078934,3.4755192,0.018672325,0.04077245,0.428131,4.581929,0.59382075,2.4115367,0.037453506,1.8006629,0.90495646,0.19179597,2.0184078,0.58393025,3.780004,0.11424362,0.41812247,1.4120904,0.1063684,0.00925895,0.48083872,0.5381406,0.03581804,2.7455568,2.851168,0.02374934,3.3932836,0.9380933,1.9076272,0.21198092,0.006042862,3.7812703
kidney collecting duct intercalated cell,0.12373651,0.01517159,0.11930632,0.085565515,1.5350587,0.49036595,1.1329483,4.0188804,0.9288752,0.096386805,2.6395602,0.27863756,0.00957369,1.6991695,3.0832195,4.1226788,4.404415,0.035238765,1.9637609,0.6897252,1.4364811,2.6254354,0.47006956,0.011047902,2.0059211,1.3221196,0.03897952,0.5894885,1.1026202,1.1465824,0.0279211,3.80364,1.885326,0.1410142,0.97172636,0.05663257,0.7838273,1.0866991,0.027027559,2.1443439,0.08556164,0.09554855,0.16677517,0.45997488,0.030130997,0.052178033,0.6945099,0.21332295,0.14818062,0.29289776,3.2171297,0.4415026,3.2381752,1.611417,0.08676021,0.11887056,0.79954094,0.9379729,0.050224423,2.4326322,4.685535,0.20900601,0.55551684,0.017708912,0.09994483,0.24992724,0.023321964,1.9610034,2.0524669,0.2827069,3.682151,1.6025686,0.06709894,3.3039336,1.0386302,1.5430062,0.16107234,2.988577,0.026628159,1.3869486,0.07624344,0.15820354,0.07131252,3.2717838,0.14743584,0.113297306,0.15769601,4.6874514,0.35616246,0.5844653,0.18354768,2.9640095,0.3406997,0.13276502,0.18055262,3.3146033,0.35013267,4.0207005,0.74369574,1.1108428,0.23608541,2.361259,0.09098738,2.197405,4.662703,1.5420194,0.5504906,0.08302242,0.08164177,2.8147159,0.115206614,0.60391855,2.1167927,0.1136784,0.046351854,0.113320515,0.0081326915,0.90268266,0.08242658,4.6103697,2.9843416,0.6024565,1.7317041,0.3664761,5.0137973,0.026372537,0.7843281,0.18164878
kidney collecting duct principal cell,3.5259995,0.24842952,4.6589947,0.041053154,0.30465978,3.8952498,1.226685,0.7855857,0.053241134,3.7530522,2.2495954,0.034708522,0.12867185,3.527627,0.05827205,2.045884,0.09482206,0.45134065,2.8374097,0.06629348,3.5201614,0.08764775,0.079233855,0.12683965,1.0733495,3.388332,1.4220767,2.062671,1.0861611,1.233505,3.8696692,2.2957714,0.32198837,0.034180984,2.1722722,0.54430777,3.3735926,1.5192848,2.2755938,0.2866869,0.28668824,1.3954976,1.1391826,3.4946504,0.105344705,0.011640621,0.024912164,0.15914938,0.43339512,0.105819054,0.041144945,0.74934214,2.5189843,1.6839067,0.16297741,0.06668334,0.013675714,3.5254867,0.90892804,0.18872647,2.2646532,0.6835408,0.040801965,0.2112984,0.011328288,0.1840712,0.5392802,2.9789555,3.353104,0.92964053,1.780296,2.212563,2.9976957,0.039510917,4.7495255,1.6710546,0.5329936,0.058841195,2.4425685,0.04911295,0.56881106,0.0992545,0.1512075,1.5331383,1.3807728,0.13865285,0.6336678,0.43843105,1.520291,1.5644975,2.1986933,0.150964,0.25992736,0.60812396,0.04028292,0.1916137,0.35575026,4.5309243,1.9633178,1.9990894,0.03239942,0.031585217,0.03634747,0.23229782,1.9670179,1.2837462,1.7871622,4.665341,3.3269308,2.9853408,1.4263617,0.17680232,0.92280483,0.5730114,2.5824883,0.37286326,0.08284332,1.9220805,0.11541849,5.9561634,1.5134343,1.1901556,0.0062272283,0.04260873,0.5610394,0.015977878,0.06506575,0.040576443
kidney connecting tubule epithelial cell,1.3113377,0.075666994,1.5750439,0.99313956,0.209202,0.71257204,0.23836511,2.3038838,2.225676,1.158419,0.02317635,0.30174646,3.190781,0.053509254,4.6803575,3.060088,0.46353227,0.88345975,2.6477704,0.036190894,5.3187823,1.1372805,0.091344774,0.06873221,0.030197816,3.2679136,0.08753908,2.7943726,2.4615605,0.088412784,0.16155069,1.343738,0.46790072,0.9158379,2.7852743,6.299353,1.77088,0.05389482,0.31547585,1.5644792,3.0933754,1.7311153,0.861494,0.17712595,0.045686137,0.018130565,2.3623865,0.5890739,0.19374467,0.024641898,0.03561706,0.78408897,4.1501474,0.9522786,0.0062901103,0.02628876,1.2657832,3.0728111,2.019202,1.4256722,2.4949124,0.5396787,2.4938858,2.0780814,0.038890705,0.17700966,1.2186227,0.098443694,3.186161,1.255312,0.91590863,0.6438839,1.1229577,1.8198911,3.4565642,2.516933,4.3364043,0.023386931,1.9821756,4.1749086,2.6535776,0.1525951,0.87523675,4.425308,1.9402708,0.022916391,1.7584658,0.04750358,1.2348502,0.04478094,0.048905537,0.015541289,4.809345,0.6458684,0.045901682,0.21101281,3.9667304,1.2048503,0.022139221,0.117945656,0.29662207,2.3731592,0.110503554,4.5776477,0.6269617,0.7642165,0.054779053,0.43268004,0.49005067,1.348452,1.4442126,0.08855426,3.7684991,4.547409,1.5789269,5.13614,2.5614727,0.13504305,0.8471443,8.267109,3.5794244,0.039327513,5.518564,0.4582866,3.117465,0.0109094,1.441746,0.21243273
kidney distal convoluted tubule epithelial cell,0.7490508,0.4357297,0.16614899,0.014485673,0.1455066,0.18876678,1.0040758,3.4529643,2.4911175,3.259063,0.12372404,0.059094988,0.044785146,0.9484154,0.7544311,3.6022248,0.17322,1.8301309,3.317729,0.020238971,0.10219626,0.18421225,0.1181318,1.8117266,2.8501575,0.38081023,0.014208443,0.5261296,0.039850254,0.16026574,0.013248021,0.89508855,0.9666299,0.052868646,0.46368492,0.08339193,2.298466,0.31082848,0.23409735,2.0465035,2.4213998,0.39018476,0.0684095,2.066516,0.0125971055,1.3953836,2.3050914,0.6996172,3.508645,0.67526686,3.331286,2.7867281,1.6813886,6.3894,0.045296147,0.22388195,1.5421718,0.62705064,0.35427475,0.06363364,0.040769573,0.037293345,2.743112,0.89951175,0.15946424,1.0890682,0.17998323,1.3304452,5.7051654,0.06857518,4.6324353,0.3533301,0.08871494,1.7643778,2.5474422,0.02098768,3.2590191,0.10185948,0.016669571,1.2295765,1.8934172,1.529535,2.2090068,3.5155895,0.6355393,0.54558766,1.8060161,3.6685293,0.8558344,0.4857885,1.5669239,2.8227048,2.105643,1.3746326,0.04089286,0.09384443,0.2695507,2.0617042,0.6029152,3.7421803,0.05795637,0.7189448,0.925875,3.3721685,2.967509,0.07602479,1.4978579,4.48427,0.70221376,4.8230414,1.7148064,5.831964,1.2632072,3.7862103,0.07440092,1.2612414,2.8488264,3.632508,0.27446878,6.6260104,0.64755434,0.5977852,2.3063617,2.722503,1.3738443,0.9240669,1.8464324,3.1385589
kidney interstitial fibroblast,2.240611,0.30453187,0.66408056,0.75664246,0.42221358,2.0654707,2.740781,5.029318,0.56132966,0.74612945,0.067190066,2.2933373,1.0300492,2.986934,1.1243447,0.9278101,2.540917,0.13944134,3.4235253,0.36276466,0.22484615,3.5147986,0.905893,0.948666,1.52226,0.12891945,0.032972265,0.23587698,2.447095,0.19244248,1.9183424,0.037063878,0.70995885,0.16845478,0.5057028,0.41232738,1.1705856,1.183908,0.046598274,2.0314012,0.45532808,1.2448502,0.09047576,2.174906,2.0735028,0.16182153,0.017990889,0.15389451,0.23344134,2.93864,1.266673,0.14857836,0.39112666,0.06973034,0.6003634,0.2524251,0.028005857,0.8706759,0.0323356,1.4413427,3.3991861,3.697663,0.035138346,1.6385005,0.12753242,4.2763467,0.8161733,4.5716805,3.4524372,0.09341707,2.124192,0.3864875,1.011418,0.13641143,1.2076858,0.39286423,0.19685346,0.36938375,0.323747,0.11024439,2.11757,2.6011133,3.246763,1.5970407,1.7864155,0.13804433,1.027355,0.33591777,3.0211663,1.692621,0.2111599,0.19267605,1.369425,0.8741638,2.0074608,3.469247,5.341601,0.31596458,2.9618747,0.30286926,0.10569516,0.59592265,0.08623273,0.5999728,4.0577044,2.2622397,0.21854647,2.9665952,0.08897516,4.3833823,1.0490401,2.3122823,0.008663802,0.17565821,0.35395545,0.009233593,0.11179478,0.12558606,3.1875374,4.588427,0.015150774,1.3299731,0.14985432,0.074584395,3.9175231,0.63737005,0.013966798,3.0253522
kidney loop of Henle thick ascending limb epithelial cell,1.8036336,0.019784048,1.8109236,0.06154647,3.0464935,0.23882963,1.2987392,2.1329908,0.11935897,0.26043746,0.08726551,0.04534048,0.11543771,0.54392684,0.32393894,4.082446,1.3159988,0.15646364,2.9673154,0.13299234,0.8085687,0.2838053,1.0201243,2.7546518,0.10505439,0.10664487,0.013680353,3.1240945,0.09022847,0.5311476,2.7730746,2.8351886,0.070428416,0.030594658,1.1439016,0.91007966,0.20369944,2.4505963,0.06611133,0.28750065,0.3844884,0.17583264,4.414223,0.101210214,0.06625259,0.28913504,0.31678897,0.5334389,0.4919892,1.8517863,0.9861064,2.8574502,2.0945678,1.6545491,0.056499355,2.348185,0.35202083,0.09666455,2.4345756,2.2421548,1.5267878,0.057315644,0.06078256,2.2131295,0.18371733,3.2211518,0.44070262,0.11157082,1.0636128,0.07413983,0.6171603,0.0504572,0.11040862,3.5467489,1.8614635,0.028151024,0.2705042,1.1970644,0.4154383,2.7819505,0.03239651,0.35298246,1.0726004,1.8899902,0.7157314,0.07528292,0.44665787,1.4791343,0.07282517,2.4084995,1.3646252,0.18488081,0.20671383,2.3711562,0.079206504,0.3341957,4.288198,0.30866742,3.6846192,1.8221357,0.01549552,1.2051493,0.11664393,3.1180496,0.15776853,0.2528115,2.6633155,1.4803035,2.4504855,4.076601,1.4656055,2.6100512,1.8793921,2.3205662,4.165209,0.24180843,2.870558,1.4027423,0.06387417,2.9857423,0.9159598,0.6693281,0.16926153,1.1492707,1.7031157,0.025776975,0.10074999,1.0401952
kidney loop of Henle thin ascending limb epithelial cell,1.0779836,3.0242677,0.01895985,2.6504595,2.370384,0.85710734,3.681437,0.039722666,1.0815407,0.1455474,1.8094465,5.8495145,2.7186697,3.584229,0.17023328,2.4906306,1.8811042,0.1713842,5.358738,0.052802075,0.035077997,3.3455756,0.07817743,0.09576738,0.22293434,0.0057411124,0.023478756,1.9062237,5.5316796,0.023074163,3.4828558,0.025545126,0.059341803,0.40512782,6.0633783,0.14508888,0.4076606,3.778361,0.5898562,0.013552481,5.70258,0.23924112,0.022442456,0.070186816,0.9199153,1.9989736,0.3430436,0.1698914,0.63988495,2.9540303,0.023129527,0.78155696,0.06379807,4.0490837,0.011894928,2.2794542,3.0463276,0.29102892,0.57235277,3.7664883,0.26848897,2.3514194,2.1244822,3.3358955,4.394044,0.12232982,3.6183312,0.02417496,6.3474493,1.1189218,0.035920728,0.015850537,1.5760331,4.100563,2.7506824,0.16190587,0.6543642,0.08420292,1.9566095,0.31608713,1.0673505,0.02430619,0.2921426,0.9379285,0.04914492,0.03101628,5.9554467,0.049780857,0.04275722,3.3933103,0.076191016,0.34659466,2.0292819,1.2788254,0.03809279,0.012170698,1.9027879,0.0567688,0.12659897,0.59730595,0.42874944,1.3398138,0.15133639,0.028330022,0.06769074,3.795377,2.7070138,0.066219695,0.115551345,5.427818,3.172684,7.0388722,1.3360058,4.049747,2.4307833,0.10928218,3.3937922,4.27154,1.9339719,4.951176,1.0477148,0.32175258,0.36799234,0.095467165,0.020258017,0.106367804,1.3167953,0.30381
kidney loop of Henle thin descending limb epithelial cell,3.7363029,0.17356694,0.09604138,0.014708998,3.235127,0.018143915,0.019551637,0.95134914,0.042955577,0.027975108,3.4876103,1.7399712,1.1072158,1.6586608,0.061361324,1.2621872,3.807114,0.14214906,0.059764232,0.02380824,0.055559427,0.03554067,3.2911866,0.20386834,3.2117093,0.055371445,0.13038573,0.038235925,0.27632007,0.4631926,3.6593037,1.3569326,0.31670007,0.039113052,2.5233977,1.6951883,2.8865535,1.4620287,1.0499034,3.96234,1.582873,3.5608766,0.14162208,0.09108087,0.865204,1.8318682,1.3028876,1.7755694,0.031912,3.159059,0.08513448,4.348507,1.9557297,2.9450037,0.37609968,2.1439648,2.5313377,0.030373111,0.052881647,0.092490256,1.3325105,2.0600002,2.3295975,0.38268346,2.7912219,0.12300903,0.08284671,4.3612003,0.87814575,2.1156332,0.054593015,1.1469597,1.4220679,0.08247786,3.4163642,4.511699,0.043710943,6.218022,3.1417336,2.2317383,0.090442196,0.537932,0.110637136,0.24450141,0.79162914,0.23706368,0.63993734,1.3759544,0.0129120555,2.2318656,1.7314873,0.80432516,3.0623596,0.28513673,0.21651252,0.26436728,2.638927,2.9173942,2.946549,0.18968779,0.6300303,2.0382276,0.043134913,2.9481304,0.19275773,0.39263096,3.0192406,3.1951923,3.1596835,3.4365356,3.378914,1.378314,0.19817904,0.09330955,1.5037642,0.056009676,0.3725785,1.2069721,3.1644084,7.040378,1.3886546,0.31539068,0.034439575,0.22699565,0.22033167,0.07625641,0.14313537,3.402307
lamp5 GABAergic cortical interneuron,0.07599743,0.11502651,1.9902128,2.0263758,3.2612302,0.791275,0.20362471,0.3579191,0.9740814,0.024622649,0.043776974,0.058509443,0.11862274,3.9436686,0.3262597,0.01884337,0.67762166,3.2423427,2.6574197,0.14263524,0.017609267,0.6583017,0.9534032,1.2713436,0.18131919,0.08916857,0.0047818413,0.2719693,1.1444876,0.039846286,0.05448667,0.08834493,0.014946527,0.5832303,1.4664636,0.30261588,0.3220085,0.014586338,0.18547675,0.012133381,0.048837144,0.11245362,0.83793616,0.880227,0.03016076,0.2787346,0.03591334,1.6600457,0.21150091,0.046888303,0.3163651,0.045642443,1.3535693,0.07130763,0.18211277,0.29051912,0.49810153,0.014270558,0.0071033803,1.9456477,0.8731367,0.72046673,1.4674748,0.8173059,0.058280546,0.31541514,2.1434717,0.02969586,2.9559329,0.01003504,0.312588,0.15095897,0.15421714,0.24091542,2.6935816,0.85126275,0.65176135,0.06967444,1.120049,0.9674027,0.33060205,0.50050163,0.04748928,0.055169966,0.38777035,2.1213665,0.28205377,0.02029998,0.07021132,0.50828654,3.1667247,0.048459977,2.5988617,3.4298542,0.11161537,3.2320538,1.7026534,0.054267455,0.09466514,0.08633889,1.9298111,0.3264618,0.8195022,0.0012620131,0.6049856,1.0736811,0.006736144,1.6170429,1.2501619,2.591893,0.29005954,1.9017152,1.2712419,4.208379,1.570675,0.11500783,0.3743149,2.4283578,0.07099765,3.4885626,1.7534475,0.43975562,1.1841813,3.5213223,0.01845692,0.17534593,0.046882596,2.1574798
